Date,United States,Mortagage Value,GDP,Unemployment Rate,SP500
1989-09-30,194.97075650113084,7.4231177094379746,3.940351154551739,-34.567901234567906,23.613595706618966
1989-10-31,196.00864375922635,5.514316012725341,3.9171502749714935,-34.567901234567906,24.269528920691712
1989-11-30,196.95593114266538,3.6055143160127243,3.91211999577046,-33.333333333333336,25.163983303518183
1989-12-31,197.95023058581384,3.287380699893961,3.93008527863127,-33.333333333333336,26.237328562909973
1990-01-31,198.78043667194532,4.984093319194068,3.9595483425230027,-33.333333333333336,25.939177101967807
1990-02-28,199.4073240697509,8.165429480381755,3.981106681955978,-34.567901234567906,26.29695885509839
1990-03-31,200.26933129184533,8.907741251325556,3.975357791440517,-35.802469135802475,26.595110316040554
1990-04-30,201.30703931844528,9.968186638388119,3.93008527863127,-33.333333333333336,27.668455575432322
1990-05-31,202.3627242636142,11.134676564156953,3.8370764427918704,-33.333333333333336,28.682170542635653
1990-06-30,203.3952806178473,7.741251325556739,3.6897611233332075,-35.802469135802475,29.278473464519976
1990-07-31,204.15029922971345,6.468716861081648,3.486496780108011,-32.098765432098766,29.39773404889684
1990-08-31,204.25005044267084,7.104984093319193,3.22892595326358,-29.629629629629626,28.861061419200958
1990-09-30,203.69612116941482,7.953340402969247,2.925158684777043,-27.160493827160497,28.384019081693513
1990-10-31,202.6967144209914,7.953340402969247,2.5963940084241792,-27.160493827160497,28.50327966607037
1990-11-30,201.5911330538151,6.150583244962885,2.269774900138687,-23.456790123456795,29.159212880143116
1990-12-31,201.04168089299228,2.545068928950162,1.9720850301970694,-22.222222222222225,30.053667262969586
1991-01-31,200.89294131980333,2.2269353128313982,1.7238458845643259,-20.987654320987655,29.338103756708417
1991-02-28,200.92375452642725,-0.6362672322375451,1.5391833085070206,-18.51851851851852,29.21884317233156
1991-03-31,201.35649283426366,0.7423117709437994,1.4220907277582124,-16.04938271604938,29.159212880143116
1991-04-30,201.9292219011787,0.6362672322375451,1.3581240548978042,-17.28395061728395,29.099582587954675
1991-05-31,202.55256303728436,0.42417815482503635,1.3268336650922177,-14.814814814814811,28.861061419200958
1991-06-30,203.17445475916864,2.014846235418871,1.3103158707362002,-14.814814814814811,28.562909958258793
1991-07-31,203.3976409233461,1.5906680805938531,1.2992800541216996,-16.04938271604938,28.861061419200958
1991-08-31,203.08166475270562,-2.014846235418871,1.292063143349613,-14.814814814814811,28.920691711389395
1991-09-30,203.02022461921578,-4.453870625662778,1.293161592073101,-14.814814814814811,28.801431127012535
1991-10-31,203.5108972275739,-6.044538706256631,1.3113835218319316,-13.58024691358024,28.384019081693513
1991-11-30,203.97800879011862,-7.635206786850465,1.3564609829986862,-13.58024691358024,27.728085867620766
1991-12-31,204.26982180044453,-9.862142099681865,1.4343173859794853,-9.876543209876552,27.370304114490164
1992-01-31,204.80938351131434,-10.604453870625663,1.5402714913545996,-9.876543209876552,27.60882528324388
