,United States,Mortagage Value,GDP,Unemployment Rate,SP500
count,5.0,5.0,5.0,5.0,5.0
mean,0.19747351091828355,-0.034183370667588676,0.12340629036157699,-0.0007536994069456294,0.20437419814221186
std,0.749549787672312,0.7287230285873094,0.5910374001719216,0.6545978896637156,0.7536185973986461
min,-0.7207147714354478,-0.727009318851855,-0.6568309707514608,-0.6568309707514608,-0.727009318851855
25%,-0.3069517227195425,-0.7207147714354478,-0.009427482867989606,-0.326220523381074,-0.326220523381074
50%,0.11161156061487772,-0.009427482867989606,0.11161156061487772,-0.3069517227195425,0.17167834481245767
75%,0.9034224881315305,0.28623471981734916,0.17167834481245767,0.28623471981734916,0.9034224881315305
max,1.0,1.0,1.0,1.0,1.0
