,United States,Mortagage Value,GDP,Unemployment Rate,SP500
United States,1.0,-0.7207147714354478,0.11161156061487772,-0.3069517227195425,0.9034224881315305
Mortagage Value,-0.7207147714354478,1.0,-0.009427482867989606,0.28623471981734916,-0.727009318851855
GDP,0.11161156061487772,-0.009427482867989606,1.0,-0.6568309707514608,0.17167834481245767
Unemployment Rate,-0.3069517227195425,0.28623471981734916,-0.6568309707514608,1.0,-0.326220523381074
SP500,0.9034224881315305,-0.727009318851855,0.17167834481245767,-0.326220523381074,1.0
