Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,United States
1975-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-02-28,0.6265003163165602,1.4857746349210414,1.6885040105793274,0.8461920778064023,0.3561766111608975,1.159638747842789,2.123925745887414,0.14245124300668185,3.9387958025800973,-0.9028412325703484,-0.2161692776682826,0.038547557374710904,0.8644852122396898,1.5894798764160674,1.585981545299995,1.111613862734306,0.0523129869971239,1.8359028032058455,-0.8951256940411512,-0.33758787457109946,-0.6070743620986636,1.4542973567503776,0.9619416216028471,-0.8022318490385714,4.433647464704503,1.1486381903393748,-0.11124546113396266,1.7518695006148708,1.5653195662825945,-2.3492672880064998,1.536537695913467,-2.0659509724352656,0.9464061590177292,-0.3071530061956671,0.201112363972216,-0.06412237962964147,2.5489584402649124,1.1797191173324022,2.0653164988223396,1.3262617008908355,-1.0998585336539355,0.11213205588402933,0.9514883094527726,1.3982898602749332,0.9452472885443683,0.9872878203025623,0.3975612587679277,2.495068999536017,1.4049199727502868,1.4385024769529233,0.6395227020420552
1975-03-31,1.3585751254679357,3.00647288535038,3.261346077139788,1.5819555532794385,1.5756897271225312,2.2994492300858447,3.719898447811529,0.38791776206494777,9.798242938504979,-1.2827582402361875,-0.25317268399110576,0.04956166235679138,1.942213019575241,3.09512753965466,3.021250367194355,2.347343757201806,0.07871125360080378,3.6653045008463043,-1.6610063739638143,-0.5194429076264423,-1.2049514764520886,2.6647755613758495,1.7826827720727392,-1.425748380043201,8.94733267432552,2.369245839357287,-0.2348565299076259,3.456630344295217,2.993889825600071,-3.7113847400824107,2.9587025018199986,-3.026979540384959,1.7685560113196959,-0.4814758936467833,0.773071848148375,-0.03167997400110373,4.975656981775503,2.0943847644400666,4.167801321932154,2.32188008476688,-2.218400446092009,0.3691859102448973,2.7010388650861477,2.6592615609557617,1.857227432636056,1.7074744038565837,1.0157231083050062,5.093473888370894,2.7913705743921926,2.9625121867448945,1.681678025097997
1975-04-30,2.2547264961639883,4.59352977965452,4.475810056195491,2.183668640138388,3.573195780043654,3.3590283504676433,4.616778145738631,0.8916187090525022,16.974818872425054,-1.0683712877788187,-0.01942157920651396,0.0521932042125948,3.086578122589804,4.206805932465958,4.152431553778743,3.614661208530413,0.24849213430801648,5.037597197688082,-2.1974397907731533,-0.38386657958476855,-1.664618241251634,3.464193905679838,2.532457328279351,-1.761465684517854,12.612528338368461,3.622775116291546,-0.3620340229234753,5.060410597738433,4.164077480617777,-3.7647002719282066,4.051719861267528,-3.0366165922791746,2.5115025539830618,-0.3439990004774386,1.5959302054232516,-0.0037632430585624503,7.165096677567358,2.7788286185113407,6.30007443096897,2.8897255386765472,-3.3288684732842397,0.7655696803280728,5.276569547976558,3.662118902719729,2.6855782476788272,2.2383918437761876,1.7578873854434813,7.772684674550731,4.034164784965006,4.545011226790847,3.0470440780668953
1975-05-31,3.1078287766437507,6.3275996408106785,5.1396166796391025,2.786247558893045,5.241395158247631,4.226894588845063,4.901787042777009,1.7520863227386398,17.891883674861294,-0.6768299295613922,0.45973039352346845,0.12118502712003319,3.751427700242649,4.7119877449514105,4.846422350116368,4.7963012888327095,0.8665982588849872,5.7073513397310895,-2.438229116196383,0.05208267808313433,-1.846043108183951,3.7449314557673286,3.398670777983427,-1.8056433952470214,12.41551357253225,4.781852356398689,-0.5038015887554133,6.5085862354271145,4.970024499389311,-2.9008437794013053,4.811931225365859,-2.470535869781191,3.1671098825611623,0.16161951739715288,2.4803626471366425,-0.008683303002516456,9.21781323048784,3.598607740123577,8.378391921037174,3.2671303676074217,-4.3353771257053255,1.228807850702479,6.099286489851089,4.32618554292635,3.4132949413153186,2.6840355726634515,2.426439436123068,10.469784192627179,5.047627775549055,6.080901007223781,3.9225397797943167
1975-06-30,3.585230708585975,8.184556770875734,5.035189502665132,3.444136168891479,5.987360123350064,4.9467549511051905,4.7846862381913535,2.775175504287874,12.718160999534792,-0.559763279952007,1.0435529483052817,0.24111739038914726,4.124329063468459,4.629718991950389,5.223420170789835,5.6765248186852375,2.0629603330402335,5.998342300912076,-2.3324434996039587,0.6547004241861155,-1.6625731248184303,3.5438030572425525,4.404386734080588,-1.6498802965482686,8.87152329940131,5.764827374814485,-0.6728034375600773,7.750158769249013,5.3517408130996955,-1.6832976208770678,5.444210850222581,-1.429298191176413,3.6603743692298867,1.0177564335364058,3.3603221542323594,0.03237626357893444,11.172052295478839,4.551666006460037,10.170873881853916,3.755933525995906,-5.087934034495093,1.729811391353965,4.882746514451817,4.518226578758493,4.0715895298526155,3.11715933843595,3.113941274553183,13.046164064909544,5.816306938656443,7.518639767190501,4.1533728712109665
1975-07-31,3.5020890899119426,10.041681633076392,4.062221266115356,4.024415550620295,6.773493519912913,5.441441758368266,4.609283373731784,3.6780406635461707,8.73149735642826,-0.9255594036315389,1.5616243075324647,0.3938084921366782,4.678671504706977,4.089602565736929,5.551634604445867,6.221643683341244,3.514017886145013,6.433933397944385,-1.8742516304263792,1.4009294503066185,-1.1653681506304667,3.3588862302556506,5.600372174481145,-1.6227695386486174,5.658575138057928,6.574591072906219,-0.852925012033094,8.81692959573378,5.331310947385994,-0.42649414890348536,6.029194311030983,-0.34703620475089486,4.070498480694435,2.2130198443158644,4.065201769556113,0.19973246094098354,12.834351033840555,5.167166107071379,11.504616939209283,4.437910257636271,-5.561449392590122,2.2346418225621614,4.067261029302961,4.236568302592687,4.631886375547563,3.7604927611264993,3.903406023487785,15.312433748820538,6.4055911605480995,8.856684786813826,4.421355395814472
1975-08-31,2.9565614726251437,11.733578873730266,2.4899668393888583,4.3848708152470754,8.176234790654375,5.42454596759415,4.574007776217507,4.433469685490362,6.816112821944957,-1.7715779178422129,1.9039105638567175,0.6018894754226835,5.210539219126171,3.251676286596847,5.845288736587852,6.701441231852409,4.742106118314714,7.137945035994314,-1.1327051600600757,2.199219223439488,-0.6288421230463892,3.7135045812135585,6.886169332617448,-1.8945907220483325,3.8479227039295085,7.216738052638587,-0.9010619238949845,9.852043516454575,5.095683150184996,0.39562889699769016,6.435263884208633,0.17475726371395467,4.64844738047472,3.68477472106931,4.364075760572314,0.5569676831586918,14.048822740621002,4.804686878630355,12.438269095355684,5.1739656852226625,-5.887493194079355,2.762383430785604,4.011509461910961,3.793679484190555,5.024286547783829,4.455310931548525,4.444551872289978,17.128174200121048,6.912258159894286,10.059371347697786,4.839250126510157
1975-09-30,2.2870532193715016,13.207406468981045,0.8302638412078631,4.43656811358918,9.724202140055759,5.0522967852199265,4.756528361873795,5.0552780653335665,6.379601858483442,-2.941948316653979,2.114019145960911,0.9263867565991293,5.649962583557879,2.4436097118673366,5.995995517960505,7.0320209778193625,5.579460074108216,7.855605078115069,-0.28653228163829203,2.7742138042371973,-0.1968474077282336,3.96954291572306,7.903826335673958,-2.213151208269297,2.9532615043133617,7.726526103742988,-0.6235496494156674,10.946624792722892,4.9663449508645465,0.5414010886796969,6.564124506347656,0.26112735666423115,5.2987430281058865,5.324098454131024,4.483495185524509,1.1498893663732317,14.850784007574083,3.2163761961214594,13.047887724161738,5.710191071438989,-6.14271315256447,3.4733223836723734,4.272719240511246,3.594764085634899,5.274156245289182,4.710664205029095,4.554097615464505,18.356342112365738,7.583840715310665,11.092889737580164,5.217581094586435
1975-10-31,1.9374538392224243,14.547915839042588,-0.10183294385937866,4.351232145203692,11.144932525526501,4.902949620458006,5.201151803007492,5.455150419125131,6.856611713724224,-3.89189319880527,2.252834265970461,1.6157794610343705,6.20797993822029,2.308634524126391,6.206971566326425,7.16843619652966,6.051898214881262,8.475093358678224,0.358265817677538,3.2788378847533646,0.023975637839236556,3.505627764965159,8.319382885966183,-2.2643171532091633,2.3422089988531773,8.190679790870607,0.05797765468041209,12.077663056713373,5.13261887877159,0.2204447799665504,6.540200520926305,0.3233422673844255,5.833477864355401,6.9606229604097045,4.86394635315191,2.073546470467722,15.351261730681184,1.326918098027173,13.307332894021428,5.815342239078192,-6.303949247847126,4.549240592913837,4.606023503626919,4.1329040065304286,5.444302440933732,4.560088834568862,4.690223552610245,18.915894075654894,8.400399638904348,11.882282414583917,5.587853872066984
