,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,United States
AR,0.9951193639074022,0.9679827400822097,0.9364536150797982,1.0,0.9457740340726946,0.976929024886004,0.9447463670109983,0.9779213087267405,0.928080853109885,0.9684102598719065,0.9516167230750802,0.9808669116479757,0.9711129482934723,0.9773123089963075,0.989720119907075,0.9952774166395595,0.9941781639113146,0.9826578633861973,0.9769275615411297,0.9697504258306365,0.9725171391637603,0.8864184906656806,0.9772105917955651,0.9976974789926231,0.9912968887741777,0.9837869399113732,0.991408260449762,0.8616224977917865,0.9586756854617337,0.9685974663125181,0.9929373715579414,0.9781212391417279,0.9932486354608352,0.9289998425308381,0.95608748727802,0.9692925766457797,0.9793889806440195,0.9865759840788566,0.9486875303381396,0.9949644361777882,0.9869371974874567,0.9955947104464292,0.962400077503323,0.9829899854458253,0.981747476645029,0.9799439870174441,0.9840406504951558,0.9903947143478731,0.9862440165668911,0.9640903914245348,0.9843001231276794
CA,0.9423103636238869,0.9218178318742623,0.9767763986546304,0.9457740340726946,1.0,0.9388695966028265,0.94246264023907,0.967910833221973,0.9858685288585893,0.9515727258053528,0.9512631257494459,0.9547679935802679,0.9539007274036131,0.9146336200236301,0.9305615917997686,0.9411726564901464,0.9362003788362318,0.9302182377739504,0.9681594932957963,0.980935129972712,0.9669687744530876,0.8700837636500762,0.9722109627258919,0.9418941813791083,0.9587569784005173,0.9397050089259765,0.9302020543832692,0.9430902868769692,0.9676076180741406,0.9686526799492909,0.93961464931262,0.9628258232888243,0.9390501922683587,0.8830472362860646,0.9051672356588283,0.9087472297520964,0.9559997654243945,0.9563871987107088,0.9743513737683006,0.9511885746492245,0.9305039817627551,0.9455149111103446,0.9179531154666623,0.9286089397609896,0.9568150448297176,0.9796988941463006,0.9650637506146651,0.9365620150476484,0.945138630643617,0.9195370396105863,0.9866927900015375
CO,0.9655414198222735,0.9603819701950543,0.9194855704023154,0.976929024886004,0.9388695966028265,1.0,0.8893924871443895,0.9367644245561317,0.9108945733283917,0.9560252915820272,0.9282408624867142,0.9624134249649241,0.9394193285828671,0.9614964335119746,0.9856934691636753,0.9893435024354599,0.9789250319191644,0.9752621495376695,0.9466868363675963,0.9337387170236382,0.9557328696539302,0.8888479962110647,0.9724795429677658,0.9738744959268072,0.9723913058957806,0.9750169191291234,0.9883246285720912,0.838750513819571,0.9325720155654162,0.9270071578415625,0.9533167890133908,0.9443823807707215,0.9683645136579141,0.950659029475635,0.9363788959639008,0.9690759402472402,0.9756425254407348,0.9514101062936164,0.9102239017544826,0.9721614291828148,0.9868298541581069,0.9820267901521558,0.9778945854049362,0.9785764034465536,0.9488336243053369,0.9540174292202309,0.9723313031974637,0.9779873633312199,0.9672284192702544,0.9595492072953395,0.9686027168892102
CT,0.9531460378318429,0.8846000162616676,0.9176879769998704,0.9447463670109983,0.94246264023907,0.8893924871443895,1.0,0.979810362825803,0.9263549173814609,0.9474689112197652,0.9156305401961977,0.9179550705704261,0.9583738875244188,0.9224071093371682,0.9101570873225433,0.9286928871911843,0.9375811730855537,0.8977322497169571,0.9837224152963319,0.9673938830083685,0.9786913267787511,0.858024900080525,0.9444071420258348,0.9442849421972223,0.9590640672472546,0.9053187361691393,0.9135864738277223,0.8762399637839731,0.9874126624002034,0.9893158419479428,0.9474029403892744,0.9839963536522173,0.9529847320049135,0.8235828983240221,0.9183101559155796,0.8715615421039055,0.9050140514484445,0.9699137714158721,0.9882530922946883,0.9553826945369873,0.9056619323115145,0.9407443110321843,0.8735702804015439,0.8907690795412424,0.967853856936232,0.9623817502556024,0.9290650588825996,0.9148545427262241,0.9391915851615176,0.8719449586653331,0.9624412088792489
DE,0.9828240717905612,0.9380683565431573,0.9488006296882464,0.9779213087267405,0.967910833221973,0.9367644245561317,0.979810362825803,1.0,0.9531772197849032,0.960867603793455,0.9647601878424156,0.9712876996391177,0.9790585598290708,0.9492616691343426,0.9577246307849085,0.965136489668224,0.9709048460635621,0.9493259339810923,0.9937031761317918,0.9943391900829074,0.9802825089091649,0.8645498072099278,0.9707381352422906,0.9783200540923405,0.980588999701795,0.9635408988729016,0.9539088103692858,0.8925767461661885,0.9787885798286968,0.9954389306606026,0.982960306160697,0.9939676704798383,0.9795678669571597,0.8873165033622653,0.9352333742772987,0.9215620979334913,0.9649013142819055,0.9944178235361996,0.9855620916447427,0.9844382331457925,0.9562172566189839,0.9745796193098936,0.9188369220922471,0.9503569685952394,0.9919937563605056,0.9924767696174586,0.9792994441412173,0.9655574131977452,0.9740292187407539,0.9384166816144707,0.9892519458464978
FL,0.9293954145110518,0.9007132090224675,0.9943798913087605,0.928080853109885,0.9858685288585893,0.9108945733283917,0.9263549173814609,0.9531772197849032,1.0,0.9440831601008631,0.9180858317495156,0.9540285871215315,0.9501425132395647,0.891749739952869,0.9047375008227145,0.9177367050339763,0.9110634553304496,0.9117291413313967,0.9424080882332384,0.9711560196366679,0.9406864606322728,0.8627900465055416,0.9612495756700699,0.9284657787671238,0.9445493182407192,0.9192984609627876,0.9047687348730276,0.9723007092035008,0.9496449191618264,0.9558549926907361,0.9339609331227612,0.9378877135397656,0.9209313163007229,0.8327148850647338,0.8909290510466849,0.8868669827854114,0.9465888769319104,0.9299221937454862,0.9612587001272096,0.9350532010027091,0.8978238843775092,0.9228678612491354,0.8829694256091933,0.9187163645750609,0.9271728814432716,0.9617328619669401,0.9510938037003397,0.9106000464590883,0.9342461378212167,0.8989316888908245,0.9711531505048113
GA,0.9783462603505879,0.899524678116146,0.9491666834335049,0.9684102598719065,0.9515727258053528,0.9560252915820272,0.9474689112197652,0.960867603793455,0.9440831601008631,1.0,0.9040385165246352,0.9606375241485727,0.9839545797083765,0.9775116844621277,0.9576050847534167,0.9684492913657526,0.9733300567123547,0.9254568353795487,0.9593189040987792,0.9475452430924935,0.9709283529983735,0.954318485362718,0.9809026987353671,0.9703866895788017,0.9887002149883936,0.9297766456693478,0.9684327554656159,0.9182955025046426,0.9646538705929757,0.9561712308617965,0.9577308293779098,0.9573033087287052,0.9809701287721238,0.8499394119671421,0.9798288304767437,0.9106339756002615,0.952781284119178,0.9559969225560133,0.9560661214213265,0.9817193076114167,0.9390828523331449,0.974287701325791,0.9157101882294135,0.9497849341336159,0.9429396481315689,0.9497273024566159,0.9625947767247774,0.9406938017534391,0.9774608535351266,0.8911591115534891,0.9777667129442119
HI,0.9447516689443295,0.9474134615846256,0.9169226382811071,0.9516167230750802,0.9512631257494459,0.9282408624867142,0.9156305401961977,0.9647601878424156,0.9180858317495156,0.9040385165246352,1.0,0.9577362428669229,0.917407936051757,0.9087486418780301,0.9375943678482209,0.9379716765117003,0.9415915473460043,0.9454043197271295,0.9590310603310316,0.9681809132370915,0.9340272772021894,0.7848215640543565,0.9216189146997198,0.9453226267320478,0.9337674946188808,0.9660400129225449,0.9315442046564075,0.8395475494251239,0.9198040185151019,0.9474394381994645,0.9530500392198035,0.9611850867014538,0.9433000058310353,0.9417676882646436,0.8735376139132798,0.9219201820727688,0.9591148551449878,0.9739118986853104,0.9314959160665195,0.9490916115888425,0.9581071088002541,0.9533174350786859,0.9374848322048646,0.9439804896790132,0.9756658868328731,0.9755321939898656,0.9705794182956851,0.9607871654492303,0.9259677427845782,0.9510798312401844,0.9620192950629755
ID,0.9831364755468573,0.9534042449681686,0.9651981296991863,0.9808669116479757,0.9547679935802679,0.9624134249649241,0.9179550705704261,0.9712876996391177,0.9540285871215315,0.9606375241485727,0.9577362428669229,1.0,0.9680911266019606,0.9539266239088419,0.9729105865611725,0.9742608692993295,0.9722394078626252,0.970144095066021,0.9562901069732153,0.9724038549195203,0.9438980289133714,0.8701866447645589,0.968536873571541,0.9831395373827343,0.9752703395209973,0.9828631536678314,0.9687803516431251,0.8990159987498474,0.934101479639532,0.9552137962827139,0.9861657664128464,0.9564642244903196,0.9771334863186587,0.912424120075315,0.934670176899159,0.9475011550322575,0.994930105217871,0.9704747591718612,0.9367564489897622,0.9825142318786082,0.9696251391476625,0.9804365779056595,0.9417878418901682,0.990016347332775,0.9630288880888438,0.974919278610644,0.9949890390483173,0.9779007853495688,0.9763813901178612,0.963629505963598,0.9806478252447945
IL,0.983691596409888,0.8996025582689161,0.9475290745569741,0.9711129482934723,0.9539007274036131,0.9394193285828671,0.9583738875244188,0.9790585598290708,0.9501425132395647,0.9839545797083765,0.917407936051757,0.9680911266019606,1.0,0.9747179591606299,0.964199405692256,0.9656912788664602,0.9753693647748577,0.9262114260092384,0.9690990090933115,0.9694841579610896,0.9677960723822411,0.9383127546279414,0.9842624341106069,0.97359425715059,0.9895048545124686,0.9408093967573525,0.9626368459762027,0.9208005048534016,0.9651431254667837,0.9733208055821758,0.9702797994574138,0.9660242503654651,0.9798354602873551,0.8377966312533219,0.9780671345804421,0.8998270262037126,0.9604683148419483,0.9702603072309294,0.9724877151084098,0.9822081176562681,0.939226586638766,0.9691934780097975,0.8887520019670155,0.9476785664501732,0.9586901165371006,0.9644135477875706,0.9695286816690514,0.9515654219895626,0.9915067328429596,0.9049931201290398,0.980841531053422
