,Unnamed: 0,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,United States
0,AL,1.0,0.9464182344929044,0.9375917160314344,0.9951193639074022,0.9423103636238868,0.9655414198222736,0.9531460378318428,0.9828240717905612,0.9293954145110518,0.978346260350588,0.9447516689443296,0.9831364755468572,0.983691596409888,0.9838545331387925,0.9854340454774612,0.9894964575928346,0.9943317509270336,0.9666636112811129,0.9767588373153616,0.969675305477252,0.9708014153644928,0.9034727458779164,0.9763149037176346,0.9965195315065384,0.9938731874204092,0.9741205404242096,0.9865082296196064,0.872598282169429,0.9596180056889656,0.971680412536858,0.9931007909837534,0.9778401057874592,0.998317065020715,0.9022270356263576,0.9690455079209868,0.9471807819179072,0.9777408748717504,0.9872179411159048,0.9544016654251586,0.9983055173523736,0.9763815150447526,0.9945512538891872,0.9408407585008276,0.9794830965878792,0.9785914056816896,0.9752767093151974,0.9850595564568366,0.9820967744509229,0.9911614879901691,0.9466954099571075,0.9834040971551912
1,AK,0.9464182344929044,1.0,0.9102374156649136,0.9679827400822096,0.9218178318742624,0.9603819701950544,0.8846000162616676,0.9380683565431572,0.9007132090224675,0.899524678116146,0.9474134615846256,0.9534042449681686,0.8996025582689161,0.9039657198693316,0.9544355618896484,0.9647566452624768,0.9467007288995616,0.9925024201435934,0.9407090750964201,0.9446681592943048,0.9305225405613692,0.7711113474829074,0.934882712642369,0.9633091523259384,0.938796678420172,0.9822120645720308,0.9533988921023772,0.8013925380504737,0.913120980366112,0.9288496303939086,0.9627553816079756,0.9441441229805202,0.9419356969653468,0.9641399886754182,0.8626335681375531,0.9884481967686232,0.9598120588981016,0.9510130172313941,0.8953704168485462,0.9512168644938326,0.9749573456487284,0.9582003132093148,0.9805142093258574,0.9639437800386844,0.9564848337278056,0.9622258846070212,0.9588052539904548,0.9723755043265154,0.9308306887032408,0.987373115039862,0.9502942141423524
2,AZ,0.9375917160314344,0.9102374156649136,1.0,0.9364536150797982,0.9767763986546304,0.9194855704023154,0.9176879769998704,0.9488006296882464,0.9943798913087604,0.9491666834335049,0.9169226382811072,0.9651981296991864,0.947529074556974,0.8993637623812507,0.9124469494060884,0.9261535692977568,0.91738962824741,0.9240514588580551,0.9361825182391847,0.9653515314374044,0.9342675718743344,0.8637149283202142,0.9590473733743674,0.9385128085027308,0.9471879388371152,0.9282085288686506,0.9141482897196976,0.9646190931291092,0.9409350291912654,0.9480862979499391,0.9430212984816816,0.9329089001330542,0.9290461607422336,0.8462029179318385,0.894521556886873,0.901706624528996,0.9551106284306023,0.9288173363272288,0.9462648143554659,0.941651051923415,0.9067421835861652,0.9322755830399524,0.8969607633384268,0.9364477801453416,0.92461531840553,0.9585683128645028,0.9568811712773112,0.9195135285653584,0.9357169329618644,0.9093809099454274,0.9695799060465348
3,AR,0.9951193639074022,0.9679827400822096,0.9364536150797982,1.0,0.9457740340726946,0.9769290248860041,0.9447463670109983,0.9779213087267404,0.928080853109885,0.9684102598719064,0.9516167230750802,0.9808669116479756,0.9711129482934724,0.9773123089963076,0.989720119907075,0.9952774166395596,0.9941781639113146,0.9826578633861972,0.9769275615411296,0.9697504258306364,0.9725171391637604,0.8864184906656806,0.9772105917955652,0.9976974789926232,0.9912968887741777,0.9837869399113732,0.991408260449762,0.8616224977917865,0.9586756854617337,0.968597466312518,0.9929373715579414,0.978121239141728,0.9932486354608352,0.928999842530838,0.9560874872780201,0.9692925766457796,0.9793889806440196,0.9865759840788566,0.9486875303381396,0.9949644361777882,0.9869371974874568,0.9955947104464292,0.9624000775033229,0.9829899854458252,0.981747476645029,0.979943987017444,0.9840406504951558,0.9903947143478732,0.9862440165668912,0.9640903914245348,0.9843001231276794
4,CA,0.9423103636238868,0.9218178318742624,0.9767763986546304,0.9457740340726946,1.0,0.9388695966028264,0.9424626402390699,0.967910833221973,0.9858685288585892,0.9515727258053528,0.951263125749446,0.954767993580268,0.9539007274036132,0.91463362002363,0.9305615917997686,0.9411726564901464,0.9362003788362318,0.9302182377739504,0.9681594932957964,0.9809351299727121,0.9669687744530876,0.8700837636500762,0.972210962725892,0.9418941813791084,0.9587569784005172,0.9397050089259764,0.9302020543832692,0.9430902868769692,0.9676076180741406,0.9686526799492908,0.9396146493126201,0.9628258232888244,0.9390501922683588,0.8830472362860646,0.9051672356588284,0.9087472297520964,0.9559997654243944,0.9563871987107088,0.9743513737683006,0.9511885746492243,0.9305039817627552,0.9455149111103446,0.9179531154666624,0.9286089397609896,0.9568150448297176,0.9796988941463006,0.9650637506146652,0.9365620150476484,0.945138630643617,0.9195370396105864,0.9866927900015376
5,CO,0.9655414198222736,0.9603819701950544,0.9194855704023154,0.9769290248860041,0.9388695966028264,1.0,0.8893924871443895,0.9367644245561316,0.9108945733283916,0.9560252915820272,0.9282408624867142,0.962413424964924,0.9394193285828673,0.9614964335119746,0.9856934691636752,0.98934350243546,0.9789250319191644,0.9752621495376697,0.9466868363675964,0.9337387170236382,0.9557328696539302,0.8888479962110647,0.9724795429677658,0.9738744959268072,0.9723913058957806,0.9750169191291234,0.9883246285720912,0.838750513819571,0.9325720155654162,0.9270071578415624,0.9533167890133908,0.9443823807707216,0.968364513657914,0.950659029475635,0.9363788959639008,0.9690759402472402,0.9756425254407348,0.9514101062936164,0.9102239017544826,0.9721614291828148,0.9868298541581068,0.9820267901521558,0.9778945854049362,0.9785764034465536,0.9488336243053368,0.9540174292202308,0.9723313031974636,0.97798736333122,0.9672284192702544,0.9595492072953395,0.9686027168892102
6,CT,0.9531460378318428,0.8846000162616676,0.9176879769998704,0.9447463670109983,0.9424626402390699,0.8893924871443895,1.0,0.979810362825803,0.9263549173814608,0.9474689112197652,0.9156305401961976,0.917955070570426,0.9583738875244188,0.9224071093371682,0.9101570873225432,0.9286928871911844,0.9375811730855536,0.8977322497169571,0.983722415296332,0.9673938830083684,0.9786913267787511,0.858024900080525,0.9444071420258348,0.9442849421972224,0.9590640672472546,0.9053187361691392,0.9135864738277224,0.8762399637839731,0.9874126624002034,0.9893158419479428,0.9474029403892744,0.9839963536522172,0.9529847320049136,0.8235828983240221,0.9183101559155796,0.8715615421039055,0.9050140514484444,0.969913771415872,0.9882530922946884,0.9553826945369872,0.9056619323115144,0.9407443110321844,0.8735702804015439,0.8907690795412424,0.967853856936232,0.9623817502556024,0.9290650588825996,0.914854542726224,0.9391915851615176,0.8719449586653331,0.9624412088792488
7,DE,0.9828240717905612,0.9380683565431572,0.9488006296882464,0.9779213087267404,0.967910833221973,0.9367644245561316,0.979810362825803,1.0,0.9531772197849032,0.9608676037934549,0.9647601878424156,0.9712876996391177,0.9790585598290708,0.9492616691343426,0.9577246307849084,0.9651364896682242,0.970904846063562,0.9493259339810924,0.9937031761317918,0.9943391900829074,0.9802825089091648,0.8645498072099278,0.9707381352422906,0.9783200540923404,0.980588999701795,0.9635408988729016,0.9539088103692858,0.8925767461661885,0.9787885798286968,0.9954389306606026,0.9829603061606971,0.9939676704798384,0.9795678669571596,0.8873165033622653,0.9352333742772988,0.9215620979334912,0.9649013142819056,0.9944178235361996,0.9855620916447428,0.9844382331457924,0.956217256618984,0.9745796193098936,0.9188369220922472,0.9503569685952394,0.9919937563605056,0.9924767696174586,0.9792994441412172,0.9655574131977452,0.974029218740754,0.9384166816144708,0.9892519458464978
8,FL,0.9293954145110518,0.9007132090224675,0.9943798913087604,0.928080853109885,0.9858685288585892,0.9108945733283916,0.9263549173814608,0.9531772197849032,1.0,0.9440831601008632,0.9180858317495156,0.9540285871215316,0.9501425132395648,0.891749739952869,0.9047375008227144,0.9177367050339764,0.9110634553304496,0.9117291413313968,0.9424080882332384,0.971156019636668,0.9406864606322728,0.8627900465055416,0.96124957567007,0.9284657787671238,0.9445493182407192,0.9192984609627876,0.9047687348730276,0.9723007092035008,0.9496449191618264,0.955854992690736,0.9339609331227612,0.9378877135397656,0.9209313163007228,0.8327148850647338,0.8909290510466849,0.8868669827854114,0.9465888769319104,0.9299221937454862,0.9612587001272096,0.9350532010027092,0.8978238843775092,0.9228678612491354,0.8829694256091933,0.9187163645750608,0.9271728814432716,0.96173286196694,0.9510938037003396,0.9106000464590884,0.9342461378212168,0.8989316888908245,0.9711531505048112
9,GA,0.978346260350588,0.899524678116146,0.9491666834335049,0.9684102598719064,0.9515727258053528,0.9560252915820272,0.9474689112197652,0.9608676037934549,0.9440831601008632,1.0,0.9040385165246352,0.9606375241485728,0.9839545797083764,0.9775116844621276,0.9576050847534168,0.9684492913657526,0.9733300567123548,0.9254568353795488,0.9593189040987792,0.9475452430924935,0.9709283529983735,0.9543184853627179,0.9809026987353672,0.9703866895788016,0.9887002149883936,0.9297766456693478,0.968432755465616,0.9182955025046426,0.9646538705929756,0.9561712308617965,0.9577308293779098,0.9573033087287052,0.9809701287721238,0.8499394119671421,0.9798288304767436,0.9106339756002616,0.952781284119178,0.9559969225560132,0.9560661214213264,0.9817193076114168,0.9390828523331448,0.9742877013257909,0.9157101882294136,0.949784934133616,0.9429396481315688,0.949727302456616,0.9625947767247774,0.9406938017534392,0.9774608535351266,0.8911591115534891,0.977766712944212
