Date,SP500
1975-01-31,0.0
1975-02-28,0.05963029218844104
1975-03-31,0.2385211687537218
1975-04-30,0.1192605843768609
1975-05-31,0.1192605843768609
1975-06-30,-0.3577817531305827
1975-07-31,-1.431127012522352
1975-08-31,-1.610017889087654
1975-09-30,-2.2063208109719796
1975-10-31,-2.9815146094215863
1975-11-30,-3.9355992844364946
1975-12-31,-4.531902206320799
1976-01-31,-4.710793082886101
1976-02-29,-4.7704233750745315
1976-03-31,-4.949314251639834
1976-04-30,-4.7704233750745315
1976-05-31,-4.710793082886101
1976-06-30,-4.710793082886101
1976-07-31,-4.47227191413238
1976-08-31,-4.174120453190216
1976-09-30,-3.7567084078711925
1976-10-31,-2.5044722719141213
1976-11-30,-1.1926058437686302
1976-12-31,0.17889087656530195
1977-01-31,0.8944543828264886
1977-02-28,0.8348240906380475
1977-03-31,1.3714967203339323
1977-04-30,1.967799642218258
1977-05-31,2.6833631484794234
1977-06-30,3.3989266547406096
1977-07-31,4.054859868813356
1977-08-31,4.651162790697681
1977-09-30,5.485986881335729
1977-10-31,6.5593321407274985
1977-11-30,7.215265354800243
1977-12-31,8.288610614192013
1978-01-31,8.467501490757314
1978-02-28,8.94454382826476
1978-03-31,9.0041741204532
1978-04-30,9.06380441264162
1978-05-31,8.706022659511037
1978-06-30,8.407871198568873
1978-07-31,8.467501490757314
1978-08-31,8.646392367322596
1978-09-30,8.706022659511037
1978-10-31,8.109719737626712
1978-11-30,7.871198568872989
1978-12-31,7.8115682766845485
1979-01-31,7.692307692307687
1979-02-28,7.513416815742406
1979-03-31,7.274895646988663
1979-04-30,7.036374478234942
1979-05-31,6.499701848539057
1979-06-30,6.320810971973755
1979-07-31,6.320810971973755
1979-08-31,6.320810971973755
1979-09-30,6.320810971973755
1979-10-31,6.440071556350638
1979-11-30,6.201550387596894
1979-12-31,6.0226595110316135
1980-01-31,5.485986881335729
1980-02-29,4.889683959451403
1980-03-31,4.233750745378657
1980-04-30,3.9952295766249355
1980-05-31,3.6374478234943317
1980-06-30,3.3989266547406096
1980-07-31,4.114490161001797
1980-08-31,4.233750745378657
1980-09-30,4.054859868813356
1980-10-31,3.577817531305912
1980-11-30,3.220035778175308
1980-12-31,2.7429934406678647
1981-01-31,2.6237328562910034
1981-02-28,2.2063208109719796
1981-03-31,2.146690518783539
1981-04-30,2.087060226595119
1981-05-31,1.788908765652956
1981-06-30,1.5503875968992342
1981-07-31,1.0733452593917694
1981-08-31,1.0733452593917694
1981-09-30,0.7155635062611867
1981-10-31,1.1329755515802105
1981-11-30,1.2522361359570713
1981-12-31,1.5503875968992342
1982-01-31,1.669648181276095
1982-02-28,1.788908765652956
1982-03-31,2.3852116875372817
1982-04-30,2.3852116875372817
1982-05-31,1.9081693500298167
1982-06-30,1.0733452593917694
1982-07-31,0.7155635062611867
1982-08-31,0.7751937984496065
1982-09-30,0.7155635062611867
1982-10-31,0.5963029218843258
1982-11-30,0.7751937984496065
1982-12-31,1.3118664281454913
1983-01-31,1.2522361359570713
1983-02-28,1.4907573047107932
1983-03-31,1.610017889087654
1983-04-30,1.0137149672033494
1983-05-31,0.5963029218843258
1983-06-30,0.41741204531902376
1983-07-31,0.2981514609421629
1983-08-31,0.2981514609421629
1983-09-30,0.05963029218844104
1983-10-31,0.17889087656530195
1983-11-30,0.41741204531902376
1983-12-31,0.7751937984496065
1984-01-31,0.5963029218843258
1984-02-29,0.5366726296958847
1984-03-31,0.7751937984496065
1984-04-30,0.8348240906380475
1984-05-31,1.1926058437686302
1984-06-30,1.4907573047107932
1984-07-31,1.3714967203339323
1984-08-31,1.3714967203339323
1984-09-30,1.1926058437686302
1984-10-31,1.610017889087654
1984-11-30,2.2659511031603996
1984-12-31,2.9218843172331663
1985-01-31,3.2796660703637492
1985-02-28,3.518187239117471
1985-03-31,3.6374478234943317
1985-04-30,3.577817531305912
1985-05-31,3.4585569469290514
1985-06-30,3.577817531305912
1985-07-31,3.7567084078711925
1985-08-31,4.114490161001797
1985-09-30,4.233750745378657
1985-10-31,4.114490161001797
1985-11-30,4.054859868813356
1985-12-31,4.054859868813356
1986-01-31,4.293381037567078
1986-02-28,5.128205128205125
1986-03-31,6.141920095408474
1986-04-30,6.738223017292778
1986-05-31,6.67859272510436
1986-06-30,6.499701848539057
1986-07-31,7.036374478234942
1986-08-31,7.4537865235539655
1986-09-30,7.513416815742406
1986-10-31,7.692307692307687
1986-11-30,7.692307692307687
1986-12-31,7.871198568872989
1987-01-31,7.4537865235539655
1987-02-28,7.334525939177104
1987-03-31,7.096004770423383
1987-04-30,7.274895646988663
1987-05-31,7.692307692307687
1987-06-30,8.05008944543829
1987-07-31,8.407871198568873
1987-08-31,8.348240906380454
1987-09-30,8.407871198568873
1987-10-31,8.765652951699456
1987-11-30,9.302325581395342
1987-12-31,9.898628503279667
1988-01-31,10.25641025641025
1988-02-29,10.435301132975553
1988-03-31,10.614192009540854
1988-04-30,11.150864639236739
1988-05-31,11.985688729874786
1988-06-30,12.581991651759092
1988-07-31,13.118664281454976
1988-08-31,13.47644603458558
1988-09-30,13.655336911150858
1988-10-31,14.370900417412047
1988-11-30,15.384615384615397
1988-12-31,16.457960644007166
1989-01-31,16.93500298151461
1989-02-28,17.471675611210493
1989-03-31,17.8294573643411
1989-04-30,18.485390578413842
1989-05-31,19.200954084675008
1989-06-30,20.274299344066797
1989-07-31,21.40727489564699
1989-08-31,22.599880739415617
1989-09-30,23.613595706618966
1989-10-31,24.269528920691712
1989-11-30,25.163983303518183
1989-12-31,26.237328562909973
